split,batch_idx,shard_file,n,feature_dim,elapsed_batch_sec
train,0,train_features_000000.pt,8,1024,1.5987367630004883
train,1,train_features_000001.pt,8,1024,0.0898895263671875
train,2,train_features_000002.pt,8,1024,0.10551834106445312
train,3,train_features_000003.pt,8,1024,0.13397908210754395
train,4,train_features_000004.pt,8,1024,0.09076094627380371
train,5,train_features_000005.pt,8,1024,0.09676003456115723
train,6,train_features_000006.pt,8,1024,0.10059642791748047
train,7,train_features_000007.pt,8,1024,0.11017584800720215
train,8,train_features_000008.pt,8,1024,0.09305739402770996
train,9,train_features_000009.pt,8,1024,0.09139776229858398
train,10,train_features_000010.pt,8,1024,0.08976602554321289
train,11,train_features_000011.pt,8,1024,0.1434004306793213
train,12,train_features_000012.pt,8,1024,0.09706830978393555
train,13,train_features_000013.pt,8,1024,0.09028100967407227
train,14,train_features_000014.pt,8,1024,0.08981180191040039
train,15,train_features_000015.pt,8,1024,0.08988142013549805
train,16,train_features_000016.pt,8,1024,0.10264205932617188
train,17,train_features_000017.pt,8,1024,0.08992409706115723
train,18,train_features_000018.pt,8,1024,0.09051036834716797
train,19,train_features_000019.pt,8,1024,0.0973968505859375
train,20,train_features_000020.pt,8,1024,0.090240478515625
train,21,train_features_000021.pt,8,1024,0.09314274787902832
train,22,train_features_000022.pt,8,1024,0.14910364151000977
train,23,train_features_000023.pt,8,1024,0.09945130348205566
train,24,train_features_000024.pt,8,1024,0.0907747745513916
train,25,train_features_000025.pt,8,1024,0.11875438690185547
train,26,train_features_000026.pt,8,1024,0.1254103183746338
train,27,train_features_000027.pt,8,1024,0.09027862548828125
train,28,train_features_000028.pt,8,1024,0.10116696357727051
train,29,train_features_000029.pt,8,1024,0.09873008728027344
train,30,train_features_000030.pt,8,1024,0.12102127075195312
train,31,train_features_000031.pt,8,1024,0.09588861465454102
train,32,train_features_000032.pt,8,1024,0.09070205688476562
train,33,train_features_000033.pt,8,1024,0.09057879447937012
train,34,train_features_000034.pt,8,1024,0.09905385971069336
train,35,train_features_000035.pt,8,1024,0.09079790115356445
train,36,train_features_000036.pt,8,1024,0.08987140655517578
train,37,train_features_000037.pt,8,1024,0.09028482437133789
train,38,train_features_000038.pt,8,1024,0.08994770050048828
train,39,train_features_000039.pt,8,1024,0.10750317573547363
train,40,train_features_000040.pt,8,1024,0.08969283103942871
train,41,train_features_000041.pt,8,1024,0.09072136878967285
train,42,train_features_000042.pt,8,1024,0.09038853645324707
train,43,train_features_000043.pt,8,1024,0.1229863166809082
train,44,train_features_000044.pt,8,1024,0.09417986869812012
train,45,train_features_000045.pt,8,1024,0.08996129035949707
train,46,train_features_000046.pt,8,1024,0.09041547775268555
train,47,train_features_000047.pt,8,1024,0.1412370204925537
train,48,train_features_000048.pt,8,1024,0.09045028686523438
train,49,train_features_000049.pt,8,1024,0.09450507164001465
train,50,train_features_000050.pt,8,1024,0.1402740478515625
train,51,train_features_000051.pt,8,1024,0.0965738296508789
