split,row_index,condition,path,probe_codec,probe_sample_rate,probe_channels,probe_stream_index,probe_error,decode_ok,num_samples,duration_sec,abs_mean,abs_max,error
train,0,fake_video_fake_audio,/home/jovyan/MSC_PROJECT/data/avdeepfake1mpp/extracted/val/val/vox_celeb_2/id03750/WMetDhT59uY/00303/fake_video_fake_audio.mp4,,16000,1,1,,1,86016,5.376,0.012014688923954964,0.1566162109375,
train,1,fake_video_fake_audio,/home/jovyan/MSC_PROJECT/data/avdeepfake1mpp/extracted/val/val/vox_celeb_2/id01216/6ZiXrXCGF2I/00006/fake_video_fake_audio.mp4,,16000,1,1,,1,172032,10.752,0.013580499216914177,0.3243408203125,
train,2,fake_video_real_audio,/home/jovyan/MSC_PROJECT/data/avdeepfake1mpp/extracted/val/val/vox_celeb_2/id01306/nZG8uKEvlpA/00032/fake_video_real_audio.mp4,,16000,1,1,,1,81920,5.12,0.05491502955555916,0.634368896484375,
train,3,fake_video_real_audio,/home/jovyan/MSC_PROJECT/data/avdeepfake1mpp/extracted/val/val/vox_celeb_2/id04225/8G-1331TBHg/00053/fake_video_real_audio_p1.mp4,,16000,1,1,,1,329728,20.608,0.021270329132676125,0.299072265625,
train,4,real,/home/jovyan/MSC_PROJECT/data/avdeepfake1mpp/extracted/val/val/vox_celeb_2/id01681/Cj7Pn5TFQ0s/00109/real_p1.mp4,,16000,1,1,,1,483328,30.208,0.020314637571573257,0.404327392578125,
train,5,real,/home/jovyan/MSC_PROJECT/data/avdeepfake1mpp/extracted/val/val/vox_celeb_2/id01100/gppAsokrLlo/00391/real.mp4,,16000,1,1,,1,133120,8.32,0.03369765356183052,0.59820556640625,
train,6,real_video_fake_audio,/home/jovyan/MSC_PROJECT/data/avdeepfake1mpp/extracted/val/val/vox_celeb_2/id00258/YdgRyD1fH_c/00282/real_video_fake_audio_p1.mp4,,16000,1,1,,1,90112,5.632,0.04652656242251396,0.35748291015625,
train,7,real_video_fake_audio,/home/jovyan/MSC_PROJECT/data/avdeepfake1mpp/extracted/val/val/vox_celeb_2/id08678/fo5XTtL8ikM/00041/real_video_fake_audio.mp4,,16000,1,1,,1,104448,6.528,0.027950193732976913,0.33258056640625,
val,0,fake_video_fake_audio,/home/jovyan/MSC_PROJECT/data/avdeepfake1mpp/extracted/val/val/vox_celeb_2/id01509/DOvrTh7eOVQ/00125/fake_video_fake_audio.mp4,,16000,1,1,,1,102400,6.4,0.0606931634247303,0.415130615234375,
val,1,fake_video_real_audio,/home/jovyan/MSC_PROJECT/data/avdeepfake1mpp/extracted/val/val/vox_celeb_2/id04334/C4dO8I90Q3I/00081/fake_video_real_audio.mp4,,16000,1,1,,1,107520,6.72,0.01720643974840641,0.196563720703125,
val,2,real,/home/jovyan/MSC_PROJECT/data/avdeepfake1mpp/extracted/val/val/lrs3/dySwrhMQdX4/00011/00011_p3.mp4,,16000,1,1,,1,55296,3.456,0.028327902778983116,0.331085205078125,
val,3,real_video_fake_audio,/home/jovyan/MSC_PROJECT/data/avdeepfake1mpp/extracted/val/val/vox_celeb_2/id04015/QG_Do5-Djc8/00273/real_video_fake_audio.mp4,,16000,1,1,,1,98304,6.144,0.021670997142791748,0.2100830078125,
test,0,fake_video_fake_audio,/home/jovyan/MSC_PROJECT/data/avdeepfake1mpp/extracted/val/val/vox_celeb_2/id02760/qkbo1vxN40Y/00332/fake_video_fake_audio_p1.mp4,,16000,1,1,,1,195048,12.1905,0.01830817386507988,0.238739013671875,
test,1,fake_video_real_audio,/home/jovyan/MSC_PROJECT/data/avdeepfake1mpp/extracted/val/val/vox_celeb_2/id04523/uCcf_asZeWg/00426/fake_video_real_audio.mp4,,16000,1,1,,1,107520,6.72,0.045100875198841095,0.690155029296875,
test,2,real,/home/jovyan/MSC_PROJECT/data/avdeepfake1mpp/extracted/val/val/vox_celeb_2/id01928/pgGIGQI1beU/00037/real.mp4,,16000,1,1,,1,116736,7.296,0.04579557478427887,0.956512451171875,
test,3,real_video_fake_audio,/home/jovyan/MSC_PROJECT/data/avdeepfake1mpp/extracted/val/val/lrs3/uWfLwKHSEko/00050/real_video_fake_audio_p4.mp4,,16000,1,1,,1,79872,4.992,0.0653868243098259,0.5875244140625,
