split,method,threshold_type,threshold,accuracy,balanced_accuracy,f1,precision,recall,auc,val_selected_threshold
train,visual_max,default_0.5,0.5,0.5820357142857143,0.5820357142857142,0.5395601369162372,0.6005956030480862,0.48978571428571427,0.6207562219387754,
train,visual_max,val_tuned_balanced_accuracy,0.395,0.5864285714285714,0.5864285714285714,0.6089423206808051,0.5775044837304637,0.644,0.6207562219387754,0.395
val,visual_max,default_0.5,0.5,0.5738333333333333,0.5738333333333333,0.5276186957324959,0.5917944467467883,0.476,0.6162971111111111,
val,visual_max,val_tuned_balanced_accuracy,0.395,0.587,0.587,0.6032660902977905,0.5804066543438078,0.628,0.6162971111111111,0.395
test,visual_max,default_0.5,0.5,0.5873333333333334,0.5873333333333334,0.5358080239970003,0.6122536418166238,0.47633333333333333,0.6251019444444446,
test,visual_max,val_tuned_balanced_accuracy,0.395,0.5905,0.5905,0.6084462151394422,0.5829007633587786,0.6363333333333333,0.6251019444444446,0.395
train,visual_top10_mean,default_0.5,0.5,0.5468571428571428,0.5468571428571429,0.38305941845764857,0.5999086201644837,0.28135714285714286,0.5953241887755102,
train,visual_top10_mean,val_tuned_balanced_accuracy,0.3,0.5684642857142858,0.5684642857142856,0.5883274845831488,0.562438929059996,0.6167142857142857,0.5953241887755102,0.3
val,visual_top10_mean,default_0.5,0.5,0.5386666666666666,0.5386666666666666,0.36426274689940286,0.585672082717873,0.2643333333333333,0.5914001111111111,
val,visual_top10_mean,val_tuned_balanced_accuracy,0.3,0.5715,0.5715,0.5872531706533954,0.5664292350572933,0.6096666666666667,0.5914001111111111,0.3
test,visual_top10_mean,default_0.5,0.5,0.5528333333333333,0.5528333333333333,0.3785035904563354,0.6203492786636294,0.2723333333333333,0.5993061666666667,
test,visual_top10_mean,val_tuned_balanced_accuracy,0.3,0.572,0.5720000000000001,0.5856727976766699,0.5675422138836773,0.605,0.5993061666666667,0.3
train,audio_max,default_0.5,0.5,0.5230714285714285,0.5230714285714285,0.28702616123865454,0.5682875264270613,0.192,0.5418354923469387,
train,audio_max,val_tuned_balanced_accuracy,0.385,0.5278928571428572,0.5278928571428572,0.5362567970531485,0.5269217511203034,0.5459285714285714,0.5418354923469387,0.385
val,audio_max,default_0.5,0.5,0.528,0.528,0.30520117762512267,0.5780669144981413,0.20733333333333334,0.5499804444444445,
val,audio_max,val_tuned_balanced_accuracy,0.385,0.539,0.539,0.5489236790606654,0.5373563218390804,0.561,0.5499804444444445,0.385
test,audio_max,default_0.5,0.5,0.5241666666666667,0.5241666666666667,0.2952357442606764,0.5689819219790676,0.19933333333333333,0.5540156666666667,
test,audio_max,val_tuned_balanced_accuracy,0.385,0.5413333333333333,0.5413333333333333,0.5548366224522808,0.5389692017598995,0.5716666666666667,0.5540156666666667,0.385
train,audio_top10_mean,default_0.5,0.5,0.5156785714285714,0.5156785714285714,0.14403837657009405,0.6190992946283234,0.0815,0.5437266709183673,
train,audio_top10_mean,val_tuned_balanced_accuracy,0.34500000000000003,0.5308571428571428,0.5308571428571429,0.5347453424948644,0.5303498665167908,0.5392142857142858,0.5437266709183673,0.34500000000000003
val,audio_top10_mean,default_0.5,0.5,0.5203333333333333,0.5203333333333333,0.15798712697483908,0.645933014354067,0.09,0.5482086111111111,
val,audio_top10_mean,val_tuned_balanced_accuracy,0.34500000000000003,0.5361666666666667,0.5361666666666667,0.5454842397517556,0.5347422350304195,0.5566666666666666,0.5482086111111111,0.34500000000000003
test,audio_top10_mean,default_0.5,0.5,0.5228333333333334,0.5228333333333334,0.17038539553752535,0.6518847006651884,0.098,0.5547641666666667,
test,audio_top10_mean,val_tuned_balanced_accuracy,0.34500000000000003,0.541,0.5409999999999999,0.5489682279724861,0.5396007726980039,0.5586666666666666,0.5547641666666667,0.34500000000000003
train,or_max,default_0.5,0.5,0.5556785714285715,0.5556785714285715,0.6696933492632418,0.5329389393619269,0.9008571428571429,0.6269706428571429,
train,or_max,val_tuned_balanced_accuracy,0.655,0.5913214285714286,0.5913214285714286,0.6092271966670082,0.583655041549434,0.6371428571428571,0.6269706428571429,0.655
val,or_max,default_0.5,0.5,0.5558333333333333,0.5558333333333333,0.6684086101779271,0.5332539209847131,0.8953333333333333,0.6270237777777777,
val,or_max,val_tuned_balanced_accuracy,0.655,0.5928333333333333,0.5928333333333333,0.6099313428069615,0.5853509040760037,0.6366666666666667,0.6270237777777777,0.655
test,or_max,default_0.5,0.5,0.557,0.5569999999999999,0.6709581579598911,0.5336746750689247,0.9033333333333333,0.6322107777777778,
test,or_max,val_tuned_balanced_accuracy,0.655,0.5931666666666666,0.5931666666666666,0.6069876026404766,0.5870445344129555,0.6283333333333333,0.6322107777777778,0.655
train,or_top5,default_0.5,0.5,0.5676071428571429,0.5676071428571429,0.6569963452984673,0.5444428792787717,0.8282142857142857,0.6151944795918367,
train,or_top5,val_tuned_balanced_accuracy,0.5700000000000001,0.581,0.581,0.6213285133303208,0.5667765869744436,0.6875,0.6151944795918367,0.5700000000000001
val,or_top5,default_0.5,0.5,0.568,0.5680000000000001,0.655959649588532,0.5449933833259815,0.8236666666666667,0.6152577777777778,
val,or_top5,val_tuned_balanced_accuracy,0.5700000000000001,0.5873333333333334,0.5873333333333333,0.6249621326870646,0.5727373681288174,0.6876666666666666,0.6152577777777778,0.5700000000000001
test,or_top5,default_0.5,0.5,0.5665,0.5665,0.6575378538512179,0.5434167573449401,0.8323333333333334,0.6208525555555555,
test,or_top5,val_tuned_balanced_accuracy,0.5700000000000001,0.5813333333333334,0.5813333333333334,0.6190476190476191,0.5678909293266555,0.6803333333333333,0.6208525555555555,0.5700000000000001
train,or_top10,default_0.5,0.5,0.5691785714285714,0.5691785714285714,0.6379543203577538,0.5501319944096486,0.7591428571428571,0.6040159693877551,
train,or_top10,val_tuned_balanced_accuracy,0.545,0.5744642857142858,0.5744642857142858,0.6060245346030486,0.5641814935664594,0.6545714285714286,0.6040159693877551,0.545
val,or_top10,default_0.5,0.5,0.573,0.5730000000000001,0.6407739764441952,0.5530009680542111,0.7616666666666667,0.6038582222222222,
val,or_top10,val_tuned_balanced_accuracy,0.545,0.5801666666666667,0.5801666666666667,0.6091543832428239,0.569811320754717,0.6543333333333333,0.6038582222222222,0.545
test,or_top10,default_0.5,0.5,0.567,0.5670000000000001,0.6357263039820528,0.5486447241045499,0.7556666666666667,0.6100704444444445,
test,or_top10,val_tuned_balanced_accuracy,0.545,0.574,0.5740000000000001,0.6027354678271681,0.5646476412347117,0.6463333333333333,0.6100704444444445,0.545
train,or_top20,default_0.5,0.5,0.5647857142857143,0.5647857142857142,0.5952301866737527,0.5563144169874581,0.64,0.5912089081632653,
train,or_top20,val_tuned_balanced_accuracy,0.5,0.5647857142857143,0.5647857142857142,0.5952301866737527,0.5563144169874581,0.64,0.5912089081632653,0.5
val,or_top20,default_0.5,0.5,0.5723333333333334,0.5723333333333334,0.5985607008760951,0.5639740566037735,0.6376666666666667,0.5906267777777777,
val,or_top20,val_tuned_balanced_accuracy,0.5,0.5723333333333334,0.5723333333333334,0.5985607008760951,0.5639740566037735,0.6376666666666667,0.5906267777777777,0.5
test,or_top20,default_0.5,0.5,0.567,0.567,0.5949485500467727,0.5588752196836555,0.636,0.5971478888888889,
test,or_top20,val_tuned_balanced_accuracy,0.5,0.567,0.567,0.5949485500467727,0.5588752196836555,0.636,0.5971478888888889,0.5
train,mean_top10,default_0.5,0.5,0.5309642857142857,0.5309642857142857,0.23041312628186347,0.6414355628058728,0.14042857142857143,0.6043084158163265,
train,mean_top10,val_tuned_balanced_accuracy,0.315,0.5742857142857143,0.5742857142857143,0.6122568473098692,0.5621192211205351,0.6722142857142858,0.6043084158163265,0.315
val,mean_top10,default_0.5,0.5,0.5285,0.5285,0.2217331499312242,0.6346456692913386,0.13433333333333333,0.6044176666666666,
val,mean_top10,val_tuned_balanced_accuracy,0.315,0.5833333333333334,0.5833333333333333,0.6182040317654246,0.5704622322435174,0.6746666666666666,0.6044176666666666,0.315
test,mean_top10,default_0.5,0.5,0.5351666666666667,0.5351666666666667,0.23609969871268147,0.6620583717357911,0.14366666666666666,0.610374,
test,mean_top10,val_tuned_balanced_accuracy,0.315,0.5723333333333334,0.5723333333333334,0.6077652094160807,0.5612648221343873,0.6626666666666666,0.610374,0.315
train,max_top10,default_0.5,0.5,0.5564642857142857,0.5564642857142857,0.4337239523961516,0.5996721724877064,0.3397142857142857,0.5919637882653062,
train,max_top10,val_tuned_balanced_accuracy,0.395,0.56525,0.56525,0.585006647802816,0.5595773821170026,0.6128571428571429,0.5919637882653062,0.395
val,max_top10,default_0.5,0.5,0.5531666666666667,0.5531666666666667,0.4277481323372465,0.5946587537091989,0.334,0.5877747777777778,
val,max_top10,val_tuned_balanced_accuracy,0.395,0.5636666666666666,0.5636666666666666,0.5831210191082803,0.5582317073170732,0.6103333333333333,0.5877747777777778,0.395
test,max_top10,default_0.5,0.5,0.5668333333333333,0.5668333333333333,0.4421549688774415,0.6208559373116335,0.3433333333333333,0.5994534444444445,
test,max_top10,val_tuned_balanced_accuracy,0.395,0.5706666666666667,0.5706666666666667,0.5892857142857143,0.5647921760391198,0.616,0.5994534444444445,0.395
