method,score_col,threshold,condition,n,true_binary_label,visual_fake,audio_fake,success_rate,interpretation,predicted_fake_rate,mean_score,mean_visual_top10,mean_audio_top10,mean_visual_max,mean_audio_max
visual_top10_mean,visual_top10_mean,0.3,fake_video_fake_audio,1001,1,1,1,0.6543456543456544,fake recall,0.6543456543456544,0.39557531002544233,0.39557531002544233,0.378722282712693,0.5220859693744769,0.4312271823460882
visual_top10_mean,visual_top10_mean,0.3,fake_video_real_audio,972,1,1,0,0.6635802469135802,fake recall,0.6635802469135802,0.40399082265257713,0.40399082265257713,0.3556607918269595,0.5322245989577392,0.4043414322314439
visual_top10_mean,visual_top10_mean,0.3,real,3000,0,0,0,0.539,real recall / specificity,0.461,0.3116018612096086,0.3116018612096086,0.3518575071692467,0.3906194287861387,0.3996333336904645
visual_top10_mean,visual_top10_mean,0.3,real_video_fake_audio,1027,1,0,1,0.501460564751704,fake recall,0.501460564751704,0.3340325117666191,0.3340325117666191,0.3762932122261522,0.41270625634080826,0.4281031594638003
audio_top10_mean,audio_top10_mean,0.34500000000000003,fake_video_fake_audio,1001,1,1,1,0.5904095904095904,fake recall,0.5904095904095904,0.378722282712693,0.39557531002544233,0.378722282712693,0.5220859693744769,0.4312271823460882
audio_top10_mean,audio_top10_mean,0.34500000000000003,fake_video_real_audio,972,1,1,0,0.5020576131687243,fake recall,0.5020576131687243,0.3556607918269595,0.40399082265257713,0.3556607918269595,0.5322245989577392,0.4043414322314439
audio_top10_mean,audio_top10_mean,0.34500000000000003,real,3000,0,0,0,0.5233333333333333,real recall / specificity,0.4766666666666667,0.3518575071692467,0.3116018612096086,0.3518575071692467,0.3906194287861387,0.3996333336904645
audio_top10_mean,audio_top10_mean,0.34500000000000003,real_video_fake_audio,1027,1,0,1,0.5813047711781889,fake recall,0.5813047711781889,0.3762932122261522,0.3340325117666191,0.3762932122261522,0.41270625634080826,0.4281031594638003
or_top10,or_top10,0.545,fake_video_fake_audio,1001,1,1,1,0.6903096903096904,fake recall,0.6903096903096904,0.6228348259038634,0.39557531002544233,0.378722282712693,0.5220859693744769,0.4312271823460882
or_top10,or_top10,0.545,fake_video_real_audio,972,1,1,0,0.6656378600823045,fake recall,0.6656378600823045,0.6160831815655998,0.40399082265257713,0.3556607918269595,0.5322245989577392,0.4043414322314439
or_top10,or_top10,0.545,real,3000,0,0,0,0.5016666666666667,real recall / specificity,0.49833333333333335,0.5531145777959663,0.3116018612096086,0.3518575071692467,0.3906194287861387,0.3996333336904645
or_top10,or_top10,0.545,real_video_fake_audio,1027,1,0,1,0.5851996105160662,fake recall,0.5851996105160662,0.5846333774971849,0.3340325117666191,0.3762932122261522,0.41270625634080826,0.4281031594638003
max_top10,max_top10,0.395,fake_video_fake_audio,1001,1,1,1,0.6473526473526473,fake recall,0.6473526473526473,0.4713516760390479,0.39557531002544233,0.378722282712693,0.5220859693744769,0.4312271823460882
max_top10,max_top10,0.395,fake_video_real_audio,972,1,1,0,0.6275720164609053,fake recall,0.6275720164609053,0.46832592889605235,0.40399082265257713,0.3556607918269595,0.5322245989577392,0.4043414322314439
max_top10,max_top10,0.395,real,3000,0,0,0,0.5253333333333333,real recall / specificity,0.4746666666666667,0.41629077559212846,0.3116018612096086,0.3518575071692467,0.3906194287861387,0.3996333336904645
max_top10,max_top10,0.395,real_video_fake_audio,1027,1,0,1,0.5744888023369036,fake recall,0.5744888023369036,0.44606191516212734,0.3340325117666191,0.3762932122261522,0.41270625634080826,0.4281031594638003
or_max,or_max,0.655,fake_video_fake_audio,1001,1,1,1,0.6913086913086913,fake recall,0.6913086913086913,0.726063581191601,0.39557531002544233,0.378722282712693,0.5220859693744769,0.4312271823460882
or_max,or_max,0.655,fake_video_real_audio,972,1,1,0,0.684156378600823,fake recall,0.684156378600823,0.7211153741610158,0.40399082265257713,0.3556607918269595,0.5322245989577392,0.4043414322314439
or_max,or_max,0.655,real,3000,0,0,0,0.558,real recall / specificity,0.442,0.6330733754654277,0.3116018612096086,0.3518575071692467,0.3906194287861387,0.3996333336904645
or_max,or_max,0.655,real_video_fake_audio,1027,1,0,1,0.5141187925998053,fake recall,0.5141187925998053,0.6638640582612787,0.3340325117666191,0.3762932122261522,0.41270625634080826,0.4281031594638003
lr_fusion_all_pooling,lr_fusion_all_pooling_score,0.495,fake_video_fake_audio,1001,1,1,1,0.6793206793206793,fake recall,0.6793206793206793,0.5803022935409582,0.39557531002544233,0.378722282712693,0.5220859693744769,0.4312271823460882
lr_fusion_all_pooling,lr_fusion_all_pooling_score,0.495,fake_video_real_audio,972,1,1,0,0.6666666666666666,fake recall,0.6666666666666666,0.5754159989702056,0.40399082265257713,0.3556607918269595,0.5322245989577392,0.4043414322314439
lr_fusion_all_pooling,lr_fusion_all_pooling_score,0.495,real,3000,0,0,0,0.6613333333333333,real recall / specificity,0.33866666666666667,0.45637798026881393,0.3116018612096086,0.3518575071692467,0.3906194287861387,0.3996333336904645
lr_fusion_all_pooling,lr_fusion_all_pooling_score,0.495,real_video_fake_audio,1027,1,0,1,0.3933787731256086,fake recall,0.3933787731256086,0.47158607254514473,0.3340325117666191,0.3762932122261522,0.41270625634080826,0.4281031594638003
