split,method,feature_cols,threshold_type,threshold,accuracy,balanced_accuracy,f1,precision,recall,auc,val_selected_threshold
train,lr_fusion_top10,"visual_top10_mean,audio_top10_mean",default_0.5,0.5,0.5719285714285715,0.5719285714285715,0.5579731523823572,0.5767764562366575,0.5403571428571429,0.6040911683673469,
train,lr_fusion_top10,"visual_top10_mean,audio_top10_mean",val_tuned_balanced_accuracy,0.465,0.5732857142857143,0.5732857142857143,0.6152508533522252,0.5601618388647824,0.6823571428571429,0.6040911683673469,0.465
val,lr_fusion_top10,"visual_top10_mean,audio_top10_mean",default_0.5,0.5,0.572,0.572,0.5567828788401795,0.5773085182534001,0.5376666666666666,0.6045471111111111,
val,lr_fusion_top10,"visual_top10_mean,audio_top10_mean",val_tuned_balanced_accuracy,0.465,0.5823333333333334,0.5823333333333334,0.6212212817412334,0.5683075221238938,0.685,0.6045471111111111,0.465
test,lr_fusion_top10,"visual_top10_mean,audio_top10_mean",default_0.5,0.5,0.5808333333333333,0.5808333333333333,0.5626847504781777,0.5881497637222828,0.5393333333333333,0.6103244444444444,
test,lr_fusion_top10,"visual_top10_mean,audio_top10_mean",val_tuned_balanced_accuracy,0.465,0.5741666666666667,0.5741666666666667,0.6141066304183658,0.5614471140568904,0.6776666666666666,0.6103244444444444,0.465
train,lr_fusion_max,"visual_max,audio_max",default_0.5,0.5,0.5918928571428571,0.5918928571428571,0.5879935100054083,0.5936658172551875,0.5824285714285714,0.6275330918367347,
train,lr_fusion_max,"visual_max,audio_max",val_tuned_balanced_accuracy,0.455,0.5898571428571429,0.5898571428571429,0.6348257440854744,0.5720999541494727,0.713,0.6275330918367347,0.455
val,lr_fusion_max,"visual_max,audio_max",default_0.5,0.5,0.587,0.587,0.5807106598984771,0.5896907216494846,0.572,0.6272034444444444,
val,lr_fusion_max,"visual_max,audio_max",val_tuned_balanced_accuracy,0.455,0.5978333333333333,0.5978333333333333,0.6390426327599102,0.5796472184531886,0.712,0.6272034444444444,0.455
test,lr_fusion_max,"visual_max,audio_max",default_0.5,0.5,0.5966666666666667,0.5966666666666667,0.5854744775608085,0.602184637068358,0.5696666666666667,0.6334468888888889,
test,lr_fusion_max,"visual_max,audio_max",val_tuned_balanced_accuracy,0.455,0.5906666666666667,0.5906666666666667,0.6325553560742071,0.5738327904451683,0.7046666666666667,0.6334468888888889,0.455
train,lr_fusion_all_pooling,"visual_max,visual_top5_mean,visual_top10_mean,visual_top20_mean,visual_mean,audio_max,audio_top5_mean,audio_top10_mean,audio_top20_mean,audio_mean",default_0.5,0.5,0.6110357142857142,0.6110357142857143,0.5905485168615362,0.6233828081593777,0.561,0.6619347602040816,
train,lr_fusion_all_pooling,"visual_max,visual_top5_mean,visual_top10_mean,visual_top20_mean,visual_mean,audio_max,audio_top5_mean,audio_top10_mean,audio_top20_mean,audio_mean",val_tuned_balanced_accuracy,0.495,0.6103928571428572,0.6103928571428572,0.5954985353554081,0.6191687871077184,0.5735714285714286,0.6619347602040816,0.495
val,lr_fusion_all_pooling,"visual_max,visual_top5_mean,visual_top10_mean,visual_top20_mean,visual_mean,audio_max,audio_top5_mean,audio_top10_mean,audio_top20_mean,audio_mean",default_0.5,0.5,0.6181666666666666,0.6181666666666666,0.6013572298590569,0.6290498725882782,0.576,0.6651327777777778,
val,lr_fusion_all_pooling,"visual_max,visual_top5_mean,visual_top10_mean,visual_top20_mean,visual_mean,audio_max,audio_top5_mean,audio_top10_mean,audio_top20_mean,audio_mean",val_tuned_balanced_accuracy,0.495,0.6201666666666666,0.6201666666666668,0.6076777414357032,0.6283374866500534,0.5883333333333334,0.6651327777777778,0.495
test,lr_fusion_all_pooling,"visual_max,visual_top5_mean,visual_top10_mean,visual_top20_mean,visual_mean,audio_max,audio_top5_mean,audio_top10_mean,audio_top20_mean,audio_mean",default_0.5,0.5,0.6191666666666666,0.6191666666666666,0.5973568281938326,0.6336448598130842,0.565,0.6638529999999999,
test,lr_fusion_all_pooling,"visual_max,visual_top5_mean,visual_top10_mean,visual_top20_mean,visual_mean,audio_max,audio_top5_mean,audio_top10_mean,audio_top20_mean,audio_mean",val_tuned_balanced_accuracy,0.495,0.6193333333333333,0.6193333333333333,0.6026443980514962,0.6302765647743813,0.5773333333333334,0.6638529999999999,0.495
